ID,Name,Subtitle,Kind,Group,Status,TerminalBasis,Notes,Sources
R21,PWM R21,10kΩ / L 입력 풀다운,resistor,steering,review,기능 포트. 실물 모델·핀순서 확인,초기 회로 검토값. 1% 저항을 검토하며 실제 PWM 파형/케이블 용량/서보 입력 저항과 함께 확인. R25/R26은 서보 커넥터 가까이에 배치. 저항만으로 역급전이나 고장 안전을 보증하지 않는다.,S11 | S12
R22,PWM R22,10kΩ / R 입력 풀다운,resistor,steering,review,기능 포트. 실물 모델·핀순서 확인,초기 회로 검토값. 1% 저항을 검토하며 실제 PWM 파형/케이블 용량/서보 입력 저항과 함께 확인. R25/R26은 서보 커넥터 가까이에 배치. 저항만으로 역급전이나 고장 안전을 보증하지 않는다.,S11 | S12
R23,PWM R23,220Ω / L 출력 직렬,resistor,steering,review,기능 포트. 실물 모델·핀순서 확인,초기 회로 검토값. 1% 저항을 검토하며 실제 PWM 파형/케이블 용량/서보 입력 저항과 함께 확인. R25/R26은 서보 커넥터 가까이에 배치. 저항만으로 역급전이나 고장 안전을 보증하지 않는다.,S11 | S12
R24,PWM R24,220Ω / R 출력 직렬,resistor,steering,review,기능 포트. 실물 모델·핀순서 확인,초기 회로 검토값. 1% 저항을 검토하며 실제 PWM 파형/케이블 용량/서보 입력 저항과 함께 확인. R25/R26은 서보 커넥터 가까이에 배치. 저항만으로 역급전이나 고장 안전을 보증하지 않는다.,S11 | S12
R25,PWM R25,10kΩ / L 수신측 풀다운,resistor,steering,review,기능 포트. 실물 모델·핀순서 확인,초기 회로 검토값. 1% 저항을 검토하며 실제 PWM 파형/케이블 용량/서보 입력 저항과 함께 확인. R25/R26은 서보 커넥터 가까이에 배치. 저항만으로 역급전이나 고장 안전을 보증하지 않는다.,S11 | S12
R26,PWM R26,10kΩ / R 수신측 풀다운,resistor,steering,review,기능 포트. 실물 모델·핀순서 확인,초기 회로 검토값. 1% 저항을 검토하며 실제 PWM 파형/케이블 용량/서보 입력 저항과 함께 확인. R25/R26은 서보 커넥터 가까이에 배치. 저항만으로 역급전이나 고장 안전을 보증하지 않는다.,S11 | S12
C21,인터페이스 디커플링 C21,0.1µF X7R / 공급핀 바로 옆,capacitor,steering,review,기능 포트. 실물 모델·핀순서 확인,"VCC1-GND1, VCC2-GND2에 각각 0.1µF. 비극성 세라믹이며 +/−는 전원측/접지측 구분용 기능명. 모듈 내장품이면 중복 설치를 피한다.",S12
C22,인터페이스 디커플링 C22,0.1µF X7R / 공급핀 바로 옆,capacitor,steering,review,기능 포트. 실물 모델·핀순서 확인,"VCC1-GND1, VCC2-GND2에 각각 0.1µF. 비극성 세라믹이며 +/−는 전원측/접지측 구분용 기능명. 모듈 내장품이면 중복 설치를 피한다.",S12
JDRV,구동 통전 보류 링크,OPEN / 배터리 적합성 승인 후만 장착,openlink,power,hold,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,분리형 링크를 출고/초기 상태에서 장착하지 않습니다. 8S LiFePO4 29.2V와 상한27V인 IBT-2는 직결 불가. 배터리 화학/상한 및 회생 여유를 확정하거나 구동 드라이버/전원 구조를 재선정하기 전 물리적으로 개방 유지.,"사양서 §7, p.12-14 | D4 통전 보류 설계"
F12,모터 논리 전원 퓨즈,값 미정 / 5V 보호레일 분기,fuse,control,hold,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,드라이버의 VCC는 5V입니다. B+ 24V와 분리. 분기 퓨즈값은 보드 VCC 소비전류와 배선의 보호협조 후 선정.,D4 설계 제안
X5,5V 모터 논리 분배,VCC / 0V 분리,terminal,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
QEN,출력 허용 NPN,GPIO4 → /OE 공통,transistor,control,hold,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,"GPIO4 HIGH일 때만 /OE를 LOW로 당기는 제안 회로. 2N3904 계열 NPN 후보, 패키지 E/B/C 순서는 실제 공급사 데이터시트로 확인. 하드웨어 감시 타이머가 아니며 인증 안전기능도 아님.",D4 설계 제안
RBE,베이스 풀다운,47kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RARM,베이스 직렬 저항,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RARM_PD,ARM 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
U3,L 모터 3.3→5V 버퍼,SN74AHCT125 / 14pin,buffer,control,conditional,"SN74AHCT125 D/N/PW 등 14핀 상면도 기준. 1=/OE1,2=A1,3=Y1,4=/OE2,5=A2,6=Y2,7=GND,8=Y3,9=A3,10=/OE3,11=Y4,12=A4,13=/OE4,14=VCC.","AHCT의 TTL 입력과 5V 출력을 사용합니다. HC244가 실장된 IBT-2에 ESP32 3.3V 신호를 직결하지 않습니다. /OE 풀업, NPN 허용, 출력 풀다운을 포함. 입력 3/4는 3.3V HIGH, 출력은 각각 R_EN/L_EN. 두 출력끼리 합치지 않음.","사양서 §7, p.13 | TI SN74AHCT125 Rev.R p.3-5"
COL,U3 디커플링,100nF / 세라믹 제안,capacitor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
ROL,U3 출력 차단 기본값,10kΩ /OE 풀업,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSL1,L RPWM 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDL1,L RPWM 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSL2,L LPWM 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDL2,L LPWM 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSL3,L R_EN 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDL3,L R_EN 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSL4,L L_EN 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDL4,L L_EN 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RIL1,L PWM 입력 풀다운,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RIL2,L PWM 입력 풀다운,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
U4,R 모터 3.3→5V 버퍼,SN74AHCT125 / 14pin,buffer,control,conditional,"SN74AHCT125 D/N/PW 등 14핀 상면도 기준. 1=/OE1,2=A1,3=Y1,4=/OE2,5=A2,6=Y2,7=GND,8=Y3,9=A3,10=/OE3,11=Y4,12=A4,13=/OE4,14=VCC.","AHCT의 TTL 입력과 5V 출력을 사용합니다. HC244가 실장된 IBT-2에 ESP32 3.3V 신호를 직결하지 않습니다. /OE 풀업, NPN 허용, 출력 풀다운을 포함. 입력 3/4는 3.3V HIGH, 출력은 각각 R_EN/L_EN. 두 출력끼리 합치지 않음.","사양서 §7, p.13 | TI SN74AHCT125 Rev.R p.3-5"
COR,U4 디커플링,100nF / 세라믹 제안,capacitor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
ROR,U4 출력 차단 기본값,10kΩ /OE 풀업,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSR1,R RPWM 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDR1,R RPWM 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSR2,R LPWM 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDR2,R LPWM 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSR3,R R_EN 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDR3,R R_EN 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RSR4,R L_EN 직렬,220Ω 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RDR4,R L_EN 기본 LOW,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RIR1,R PWM 입력 풀다운,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
RIR2,R PWM 입력 풀다운,10kΩ 제안,resistor,control,conditional,기능 단자명. 실물 부품의 데이터시트와 도통 대조; 그림 속 좌우 위치는 핀 번호가 아님.,,D4 설계 제안
